Abendrothschule<br>Grundschule,Abendroth-GS@cuxhaven.de
Geschwister-Scholl-Gymnasium<br>,info@gsgberenbostel.de
Geschwister-Scholl-Oberschule Bad Laer<br>,info@oberschule-bad-laer.de
Geschwister-Scholl-Oberschule<br>,info@gsovechta.de
Geschwister Scholl Schule Altenwalde<br>Realschule Altenwalde,info@altenwalder-schule.de
Geschwister-Scholl-Schule<br>Grundschule,gss-einbeck@t-online.de
Geschwister-Scholl-Schule<br>Hauptschule,gss-hs-seelze@htp-tel.de
Geschwister-Scholl-Schule<br>Hauptschule,hs-geschwister-scholl@schulen-hildesheim.de
Geschwister-Scholl-Schule<br>Oberschule,Sekretariat@Oberschule-Geeste.de
Giordano-Bruno-Gesamtschule<br>,schulleitung@bruno-igs.de
Glückauf-Schule<br>Grundschule,glueckaufschule@glueckaufschule.de
Glocksee Schule<br>Grund- und Hauptschule,glockseeschule@hannover-stadt.de
GOBS Wybelsum<br>,schule.wybelsum@ewetel.net
Godehardschule<br>Grundschule f. Schüler kath. Bek,godehardschule@goettingen.de
Goethegymnasium Hildesheim<br>,goethe-gymnasium@schulen-hildesheim.de
Goetheschule<br>Gymnasium,Goetheschule-Einbeck@t-online.de
Goetheschule Hannover<br>Gymnasium,goetheschule@hannover-stadt.de
Goetheschule - KGS Barsinghausen<br>,Schulleitung@Goetheschule-KGS-barsinghausen.de
Goode-Weg-Schule<br>Oberschule Neuenkirchen,info@goode-weg-schule.de
Gorch-Fock-Schule<br>Grundschule,gfs.cux@t-online.de
Gosekamp Grundschule<br>,sekretariat@gosekamp-grundschule.de
Gottfried-Linke-Realschule<br>,schulleitung@glrsz.de
Graf-Anton-Günther-Schule<br>Gymnasium,verwaltung@gymnasium-gag.de
Graf-Friedrich-Schule<br>Gymnasium,sekretariat@gfs-diepholz.de
Graf-Ludolf-Schule<br>Grundschule,graf-ludolf-schule@osnanet.de
Graf-Stauffenberg-Gymnasium<br>,gsg@osnanet.de
Graf-von-Zeppelin-Schule<br>Oberschule,sekretariat@graf-von-zeppelin-schule.de
Graf-Wilhelm-Schule Steinhude<br>Realschule,schule@gws-steinhude.de
Greselius-Gymnasium Bramsche<br>,gymnasium@greselius.org
Greta-Schoon-Grundschule<br>Spezerfehn,info@grundschule-spetzerfehn.de
Gretel-Bergmann-Grundschule Eystrup<br>,sekretariat@schule-eystrup.de
Grönenbergschule<br>,sekretariat@groenenbergschule-melle.net
Grodener Schule<br>Grundschule,grodener-schule@web.de
Große Schule<br>Gymnasium,sekretariat@grosse-schule.de
Grotefend-Gymnasium Münden<br>,neumann@Grotefend-Gymnasium.de
Grundschule Abbehausen<br>,gs.abbehausen@nordenham.de
Grundschule Abbensen<br>,schulleitung@gs-abbensen.de
Grundschule Achternmeer<br>,gsachternmeer@t-online.de
Grundschule Adelheidsdorf<br>,sekretariat@gs-adelheidsdorf.de
Grundschule Adenbüttel<br>,mail@grundschule-adenbuettel.de
Grundschule Adendorf<br>,sekretariat@gs-adendorf.de
Grundschule Adorf<br>,grundschuleadorf@t-online.de
Grundschule Ahlem<br>,GSAhlem@Hannover-Stadt.de
Grundschule Ahlerstedt<br>,schulleitung-gs@sz-ahlerstedt.de
Grundschule Ahlhorn<br>,schule@gs-ahlhorn.de
Grundschule Ahlten<br>,gs.ahlten@t-online.de
Grundschule Ahrbergen<br>,mail@gs-ahrbergen.de
Grundschule Alemannstraße<br>,gsalemannstrasse@hannover-stadt.de
Grundschule Alexandersfeld<br>,Sekretariat@gsalexandersfeld.de
Grundschule Alfhausen<br>,info@grundschule-alfhausen.de
Grundschule Algermissen<br>,bisdorf@grundschule-algermissen.de
Grundschule Altencelle<br>,grundschule-altencelle@gmx.de
Grundschule Altengroden<br>,GS-Altengroden@wilhelmshaven.de
Grundschule Altenlingen<br>,info@grundschule-altenlingen.de
Grundschule Altenmedingen<br>,sekretariat@gs-altenmedingen.de
Grundschule Alter Leuchtturm Balje<br>,grundschule-balje@t-online.de
Grundschule Alter Markt<br>,gs-altermarkt@schulen-hildesheim.de
Grundschule Altes Amt<br>,grundschule_echte@gmx.de
Grundschule Alte Stadtschule<br>,sekretariat@altestadtschule.de
Grundschule Alt-Hemmoor<br>,schulleitung@grundschule-althemmoor.de
Grundschule Altkloster<br>,gs-altkloster@ewetel.net
Grundschule Altmühlstraße<br>,gs.altmuehlstrasse@braunschweig.de
Grundschule Altwarmbüchen<br>,info@gs-altwarmbüchen.de
Grundschule Alt-Wolfsburg<br>,gs7@wobline.de
Grundschule Amandusschule<br>,info@amandusschuleaschendorf.de
Grundschule am Bach<br>GS Holtorf,info@grundschule-am-bach.de
Grundschule am Billerbeck<br>,kontakt@gs-am-billerbeck.de
Grundschule am Burggraben<br>,grundschule@burggraben.de
Grundschule Am Castrum<br>,schulleitung@gs-am-castrum.de
Grundschule am Drömling Vorsfelde<br>,info@gsamdroemling.de
Grundschule am Ebersberg<br>,gs.ebersberg@web.de
Grundschule am Eichkamp<br>,grundschule-sottrum@t-online.de
Grundschule Amelinghausen<br>,buero@grundschule-amelinghausen.de
Grundschule am Fehnkanal<br>,schulleitung@grundschule-am-fehnkanal.de
Grundschule am Feldbusch<br>,sekretariat@grundschule-am-feldbusch.de
Grundschule am Fleth<br>,grundschule-am-fleth@t-online.de
Grundschule Am Fredenberg<br>,gs-fredenberg@t-online.de
Grundschule am Geitelplatz<br>,gs-geitelplatz@versus-wf.de
Grundschule am Glockenkolk<br> Eschede,gs.eschede@t-online.de
Grundschule am Grünen Kamp<br>,gs.amgruenenkamp@t-online.de
Grundschule am Hagenberg<br>,mail@gsah.de
Grundschule am Hanloh<br>,gs@munster.de
Grundschule am Harderberg<br>,info@grundschule-am-harderberg.de
Grundschule Am Harrl<br>,gs-am-harrl@bueckeburg.de
Grundschule am Hausberg<br>in Bad Lauterberg,gsbadlauterberg@t-online.de
Grundschule am Hinschweg<br>,gs.langen@t-online.de
Grundschule Am Jacobitor<br>,mail@gs-jacobitor.de
Grundschule Am Langen Esch<br>,grundschule@gs-am-langen-esch.de
Grundschule Am Langen Feld<br>,info@gsalf.de
Grundschule Am Lerchenberg<br>,Gs.wesendorf@t-online.de
Grundschule am Lindener Markt<br>,gsamlindenermarkt@hannover-stadt.de
Grundschule am Lindhof<br>,GS.AmLindhof@syke.de
Grundschule am Lönsweg<br>,info@gs-am-loensweg.de
Grundschule am Markatal<br>,gs.markhausen@friesoythe.de
Grundschule am Markt<br>,gsmwalsrode@t-online.de
Grundschule Am Markt Twistringen<br>,gsammarkt@twistringen.de
Grundschule am Moor Neu Wulmstorf<br>,office@grundschule-am-moor.de
Grundschule am Nordsolling<br>,gs-nordsolling@t-online.de
Grundschule am Ostertal<br>,sekretariat@gs-ostertal.de
Grundschule am Osterwald<br>,gsamosterwald@schneverdingen.net
Grundschule am Ottermeer<br>mit sonderpädagogischem Schulzweig,GS-Ottermeer@t-online.de
Grundschule am Paulsberg<br>,gspaulsberg@ewetel.net
Grundschule am Pietzmoor<br>,gsampietzmoor@schneverdingen.net
Grundschule am Roggenkamp<br>,gs-roggenkamp@schulen-noh.de
Grundschule am Rosenbusch<br>,info@gs-rosenbusch.de
Grundschule am Rotenberg Pöhlde/Harz<br>Verlässliche Grundschule,schulleitung@grundschule-am-rotenberg.de
Grundschule Am Rotkäppchenweg<br>,rotkaeppchenweg@t-online.de
Grundschule am Sachsenhain<br>,sekretariat@gs-am-sachsenhain.de
Grundschule am Salzbach<br>,sekretariat@grundschule-am-salzbach.de
Grundschule Am Sandberge<br>,Schulleitung-GSAmSandberge@Hannover-Stadt.de
Grundschule Am Schildberg<br>,schulleitung@schildbergschule.de
Grundschule am Schölerberg<br>,gs-am-schoelerberg@osnanet.de
Grundschule am Schloßplatz<br>,gs-schlossplatz@t-online.de
Grundschule am Schwarzen Berge<br>,gs.amschwarzenberge@braunschweig.de
Grundschule Am See<br>,GS-Am-See@t-online.de
Grundschule Am See<br>,info@grundschule-twuelpstedt.de
Grundschule am Sollingtor<br>,info@grundschule-boffzen.de
Grundschule am Sonnenberg<br>,GS.Sonnenberg@t-online.de
Grundschule am Sonnenberge<br>Bovenden,sekretariat@grundschule-am-sonnenberg.de
Grundschule am Sonnenbrink<br>,grundschule@sonnenbrink.de
Grundschule am Speckenbach<br>Samtgemeinde Siedenburg,info@grundschule-sg-siedenburg.de
Grundschule Am Stadtturm<br>,GS_am_Stadtturm@t-online.de
Grundschule Am Stöckener Bach<br>,40.011-GSAmsb@Hannover-Stadt.de
Grundschule am Steinkreis, Hellendorf<br>,GS.Hellendorf@Wedemark.de
Grundschule am Storchennest<br>,gs-haenigsen@uetze.de
Grundschule am Teichenweg<br>,GS-am-Teichenweg@t-online.de
Grundschule am Trochel<br>,grundschule@bothel.de
Grundschule am Wall<br>- Ganztagsschule mit Sprachheilklassen -,gswall@t-online.de
Grundschule am Wall<br>,sekretariat@grundschule-am-wall.net
Grundschule am Westerminnerweg<br>,info@gs-jork.de
Grundschule am Wiesengrund<br>,sekretariat@gsamwiesengrund.de
Grundschule am Wilden Moor<br>,gs-amwildenmoor@geestland.eu
Grundschule am Wildfang<br>Gronau (Leine),GS.GronauLeine@htp-tel.de
Grundschule am Zellberg<br>,sekretariat@grundschule-am-zellberg.de
Grundschule Am Ziesberg<br>,gsamziesberg@web.de
Grundschule an den Seewiesen<br>,gsbabo@t-online.de
Grundschule an der Beethovenstraße<br>,schulleitung-beethoven@ewe.net
Grundschule An der Bergkette<br>,gsbergkette@t-online.de
Grundschule an der Este<br>, schule@gs-este.de
Grundschule an der Feldbuschwende<br>,GSFeldbuschwende@Hannover-Stadt.de
Grundschule an der Göhrde<br>,gsadgoehrde@t-online.de
Grundschule An der Heide<br>Neu Wulmstorf,sekretariat@gs-anderheide.de
Grundschule An der Leybucht<br>,grundschule-leybucht@norder-schulen.de
Grundschule An der Schunter<br>,gssuepplingen@t-online.de
Grundschule an der Sieber<br>,vgssieb.hattorf@t-online.de
Grundschule an der Staleke<br>Hagen,grundschule@hagen-cux.de
Grundschule an der Uhlandstraße<br>,gsanderuhlandstrasse@hannover-stadt.de
Grundschule Andervenne<br>,grundschule@andervenne.de
Grundschule an der Wassermühle<br>,GS.Barrien@syke.de
Grundschule an der Wiesenstraße<br>,schule.wiesenstrasse@t-online.de
Grundschule an der Wümme<br>,info@gs-lauenbrueck.de
Grundschule Andrup-Lage<br>,gs-andrup-lage@t-online.de
Grundschule Ankum<br>,info@gsankum.de
Grundschule Apen<br>,gs_apen@t-online.de
Grundschule Artlenburg<br>,grundschule.artlenburg@t-online.de
Grundschule Aschen<br>,gs.aschen@diepholz.eu
Grundschule Asendorf<br>,info@grundschule-asendorf.de
Grundschule Ashausen<br> Volle Halbtagsschule,Grundschule-Ashausen@t-online.de
Grundschule Assel<br>,info@grundschule-assel.de
Grundschule Atens<br>,schule@gs-atens.de
Grundschule Atter<br>,gs-atter@osnanet.de
Grundschule Auetal<br>,info@gs-auetal.de
Grundschule Auf dem Berge<br>,gs-auf-dem-berge@t-online.de
Grundschule Auf dem Loh<br>,gs-auf-dem-loh@hannover-stadt.de
Grundschule auf dem Süsteresch<br>Verlässliche Grundschule,suesteresch@suesteresch.de
Grundschule Auf der Höhe<br>,gs.auf-der-hoehe@schulen-hildesheim.de
Grundschule Auf der Wunderburg<br>,GS-Wunderburg-OL@t-online.de
Grundschule Baarsen<br>,gs-baarsen@t-online.de
Grundschule Babenend<br>,GSBabenend@t-online.de
Grundschule Baccum<br>Schule für Schüler aller Bekenntnisse,gs-baccum@t-online.de
Grundschule Bad Bentheim<br>,schule@gsbentheim.de
Grundschule Badbergen<br>,info@gs-badbergen.de
Grundschule Baden<br>,gs.baden@t-online.de
Grundschule Bad Essen<br>,info@grundschule-bad-essen.de
Grundschule Bad Gandersheim<br>,buero@gs-badgandersheim.de
Grundschule Bad Münder<br>,info@gs-badmuender.de
Grundschule Bad Rothenfelde<br>,info@grundschule-bad-rothenfelde.de
Grundschule Bad Sachsa<br>,info@gs-badsachsa.de
Grundschule Bakede<br>,gs.bakede@t-online.de
Grundschule Banteln<br>,gsbanteln@htp-tel.de
Grundschule Bardowick<br>,info@grundschule-bardowick.de
Grundschule Barendorf<br>,grundschule-barendorf@t-online.de
Grundschule Bargstedt<br>,gs-bargstedt@harsefeld.de
Grundschule Barienrode<br>,gsbarienrode@t-online.de
Grundschule Barnstorf-Drentwede<br>,gs-barnstorf@web.de
Grundschule Barnten<br>,hgs-barnten@t-online.de
Grundschule Barskamp<br>,barskamp-lehrer@web.de
Grundschule Basbeck<br>,info@grundschule-basbeck.de
Grundschule Bassen<br>,verwaltung@gs-bassen.de
Grundschule Bawinkel<br>,info@regenbogenschule-bawinkel.de
Grundschule Bebelhof<br>,info@bebelhof.de
Grundschule Beers<br>,gs_beers@gmx.de
Grundschule Beesten<br>,grundschule@beesten.de
Grundschule Beethovenschule<br>,grundschulebeethovenschule@osterholz-scharmbeck.de
Grundschule Belm<br>,Grundschule-Belm@t-online.de
Grundschule Benefeld<br>Volle Halbtagsschule,GS-Benefeld@t-online.de
Grundschule Bennigsen<br>,gs-ben.sekretariat@t-online.de
Grundschule Benthe<br>,gsbenthe@ronnenberg.de
Grundschule Berge<br>,sekretariat@gs-berge.de
Grundschule Bersenbrück<br>,grundschule-bersenbrueck@t-online.de
Grundschule Berumbur<br>,gs.berumbur@t-online.de
Grundschule Betzendorf<br>,sekretariat@gs-betzendorf.de
Grundschule Beuthener Straße<br>, GSBeuthenerStrasse@Hannover-Stadt.de
Grundschule Beverbruch-Nikolausdorf<br>f. Schüler kath. Bek.,grundschule-beverbruch@ewetel.net
Grundschule Bevern<br>f. Schüler kath. Bek,gs-bevern@essen-oldb.de
Grundschule Beverstedt<br>,schulleitung@gs-beverstedt.de
Grundschule Bexhövede<br>,gs.bex@loxstedt.de
Grundschule Bühren<br>f. Schüler kath. Bek,grundschule.buehren@t-online.de
Grundschule Bienenbüttel<br>,info@grundschule-bienenbuettel.de
Grundschule Bierden<br>,grundschulebierden@t-online.de
Grundschule Bilshausen<br>,info@gsbilshausen.de
Grundschule Bingum<br>,GS-Bingum@t-online.de
Grundschule Binnenmarsch<br>,gs-binn@t-online.de
Grundschule Bisperode<br>,GSBisperode@t-online.de
Grundschule Bissendorf<br>,gs.bsd@web.de
Grundschule Bissendorf<br>mit Förderschulklasse Schwerpkt. Sprac,grundschulebissendorf@t-online.de
Grundschule Blanke<br>,gs-blanke@schulen-noh.de
Grundschule Blender<br>,kontakt@gsblender.de
Grundschule Blexen<br>,gsblexen@gmx.de
Grundschule Bliedersdorf-Nottensdorf<br>,verwaltung@gsblino.de
Grundschule Bloherfelde<br>,info@gs-bloherfelde.de
Grundschule Blomberg<br>,gsblombergneuschoo@ewetel.net
Grundschule Bültenweg<br>,schulleitung@gs-bueltenweg.de
Grundschule Blumensiedlung<br>,gs-blumen@schulen-noh.de
Grundschule Bümmerstede<br>,gs-buemmerstede@t-online.de
Grundschule Bündheim<br>,grundschule.buendheim@t-online.de
Grundschule Bockenem<br>,schulleitung@gs-bockenem.de
Grundschule Bockhorn<br>,verwaltung@grundschulebockhorn.de
Grundschule Bockhorst<br>,schule-bockhorst@t-online.de
Grundschule Bockhorster Weg<br>,info@gs-bockhorsterweg.de
Grundschule Bodenwerder<br>,grundschule-bodenwerder@t-online.de
Grundschule Boitwarden<br>,gs-boitwarden@ewe.net
Grundschule Bokel<br>,grundschule-bokel@beverstedt.de
Grundschule Bokeloh<br>,grundschule.meppen-bokeloh@ewetel.net
Grundschule Bokeloh<br>,schulleitung@GS-Bokeloh.de
Grundschule Bomlitz<br>,gs.bomlitz@t-online.de
Grundschule Bookhof<br>,grundschule.bookhof@ewetel.net
Grundschule Bookholt<br>Grundschule mit Ganztagsangebot,gs-bookholt@schulen-noh.de
Grundschule Bookholzberg<br>mit Förderklassen Schwerpunkt Sprache,vgs-bookholzberg@ewetel.net
Grundschule Borgloh<br>,grundschuleborgloh@t-online.de
Grundschule Borkum<br>,info@grundschule-borkum.de
Grundschule Bornum am  Harz<br>VGS,luther@grundschule-bornum-am-harz.de
Grundschule Borsumer Kaspel<br>,info@gsborsum.de
Grundschule Büppel<br>,gs-bueppel@t-online.de
Grundschule Brackel<br>,gs-brackel@t-online.de
Grundschule Bramsche<br>,info@grundschule-bramsche.de
Grundschule Brandlecht<br>,gs-brandlecht@schulen-noh.de
Grundschule Börde Lamstedt<br>,Grundschule.Lamstedt@t-online.de
Grundschule Breddenberg<br>,gs.breddenberg@ewetel.net
Grundschule Bredenbeck<br>, kontakt@gs-bredenbeck.de
Grundschule Breite Straße<br>,breite.strasse@grundschulen-sehnde.de
Grundschule Brelingen<br>,GS.Brelingen@Wedemark.de
Grundschule Bremervörde<br>,gruene@grundschule-bremervoerde.de
Grundschule Bremervörde-Engeo<br>,grundschule-engeo@t-online.de
Grundschule Bremke<br>,gsbremke@t-online.de
Grundschule Breselenz<br>,GSBreselenz@t-online.de
Grundschule Brögbern<br>,gsbroegbern@t-online.de
Grundschule Börger<br>,info@grundschule-boerger.de
Grundschule Bürgeresch<br>mit Klassen mit Sprachheilklassen,info@gsbuergeresch.de
Grundschule Bürgerstraße<br>,feistner@gs-buerger.de
Grundschule Börgerwald<br>,gs-boergerwald@web.de
Grundschule Brietlingen<br>,grundschule.brietlingen@t-online.de
Grundschule Brinkum<br>,sekretariat@gs-stuhr-brinkum.de
Grundschule Brockdorf<br>f. Schüler kath. Bek,grundschule.brockdorf@t-online.de
Grundschule Broistedt<br>,GS-Broistedt@t-online.de
Grundschule Broitzem<br>,gs.broitzem@braunschweig.de
Grundschule Brome<br>,nfo@grundschule-brome.de
Grundschule Börry<br>,vgs-boerry@emmerthal.de
Grundschule Bruchhagen<br>,gs-bruchhagen@t-online.de
Grundschule Bruchhausen-Vilsen<br>Verlässliche Grundschule,info@gs-bruvi.de
Grundschule Börßum<br>,grundschule.boerssum@sg-oderwald.de
Grundschule<br>Wellingholzhausen,sekretariat@schule-welling.net
Grundschule Bötersen<br>,grundschule-boetersen@t-online.de
Grundschule Bunde<br>,schulleitung@gsbunde.gemeinde-bunde.de
Grundschule Bungerhof-Hasbergen<br>,info@grundschule-bungerhof-hasbergen.de
Grundschule Bunnen<br>f. Schüler kath. Bek.,gs.bunnen@gmx.de
Grundschule Burhafe<br>,gs-burhafe@ewetel.net
Grundschule Buschhausen<br>,grundschulebuschhausen@osterholz-scharmbeck.de
Grundschule Butjadingen<br>,vgsburhave@web.de
Grundschule Cadenberge<br>,schulleitung@grundschule-cadenberge.de
Grundschule Calberlah<br>,gs-calberlah@isenbuettel.de
Grundschule Campe<br>,info@grundschule-campe.de
Grundschule Cappeln<br>f. Schüler kath. Bek.,grundschule-cappeln@t-online.de
Grundschule Cäciliengroden<br>,grundschule.caeciliengroden@t-online.de
Grundschule Cirksena<br>,gs-cirksena@t-online.de
Grundschule Clausthal<br>,sekretariat@grundschule-clausthal.de
Grundschule Cleverns<br>,info@gs-cleverns.de
Grundschule Clusorth-Bramhar<br>,info@gs-clusorth-bramhar.de
Grundschule Comeniusstraße<br>,gs.comeniusstrasse@braunschweig.de
Grundschule Constantia<br>,Grundschule-Constantia@t-online.de
Grundschule Cramme<br>,grundschule.cramme@sg-oderwald.de
Grundschule Damme<br>,vgsdamme@t-online.de
Grundschule Danndorf<br>,gsdanndorf@t-online.de
Grundschule Dannenberg<br>,schulleitung@grundschule-dannenberg.de
Grundschule Darme<br>,gs-darme@t-online.de
Grundschule Dassel<br>,GrundschuleDassel@web.de
Grundschule Deblinghausen<br>,gsdeblinghausen@t-online.de
Grundschule Dedensen<br>,gsdedensen@gsd-seelze.de
Grundschule Deichhorst<br>,GS-Deichhorst@t-online.de
Grundschule Denkte<br>,kontakt@gsdenkte.de
Grundschule Dersum<br>,info@grundschule-dersum.de
Grundschule Destedt<br>,gs-destedt@cremlingen.de
Grundschule Detern<br>,grundschule-detern@t-online.de
Grundschule Dettum<br>,sekretariat@gs-dettum.de
Grundschule Diekholzen<br>,GS.Diekholzen@t-online.de
Grundschule Diemarden<br>,gsdiemarden@t-online.de
Grundschule Diepenau<br>,info@gs-diepenau.de
Grundschule Diesterwegstraße<br>,marita.gelowik@braunschweig.de
Grundschule Dietrichsfeld<br>,sekretariat@grundschule-dietrichsfeld.de
Grundschule Dissen<br>,info@grundschule-dissen.de
Grundschule Ditzum<br>,gs_ditzum@freenet.de
Grundschule Dohren<br>,Grundschule.Dohren@ewetel.net
Grundschule Dollart<br>,gs-dollart@ewetel.net
Grundschule Donnerschwee<br>,mail@grundschule-donnerschwee.de
Grundschule Dorfmark<br>,info@grundschule-dorfmark.de
Grundschule Dornbusch<br>,info@grundschule-dornbusch.de
Grundschule Dornum<br>Verlässliche Grundschule,info@grundschule-dornum.de
Grundschule Dorum<br>,grundschule-dorum@t-online.de
Grundschule Drachenstark mit Außenstelle Wipshausen<br>Offene Ganztagsschule in Edemissen,schulleitung@gs-edemissen.de
Grundschule Drangstedt-Elmlohe<br>,info@gs-de.de
Grundschule Drüber<br>Grundschule,GrundschuleDrueber@t-online.de
Grundschule Drebber<br>,Grundschule-Drebber@t-online.de
Grundschule Drei Linden<br>,gs-dreilinden@osterode.de
Grundschule Dürerring<br>,sekretariat@gsduererring.de
Grundschule Dürerstraße<br>,Grundschule.Duererstrasse@t-online.de
Grundschule Drielake<br>,GS-Drielake@t-online.de
Grundschule Drochtersen<br>,sekretariat@grundschule-drochtersen.de
Grundschule Dörpen<br>,info@gs-doerpen.de
Grundschule Dörverden<br>,gs-doerverden@t-online.de
Grundschule Dötlingen<br>,GS-Doetlingen@t-online.de
Grundschule Duingen<br>,vgs.duingen@t-online.de
Grundschule Dungelbeck<br>,gs-dungelbeck@stadt-peine.de
Grundschule Ebersdorf-Alfstedt<br>,schule.ebersdorf-alfstedt@t-online.de
Grundschule Eddigehausen<br>Eibenwaldschule,EibenwaldschuleGS.Eddigehausen@t-online.de
Grundschule Edewecht<br>,gs-edewecht-sl@ewetel.net
Grundschule Edewechterdamm<br>,gs.edewechterdamm@Friesoythe.de
Grundschule Edith Stein<br>f. Schüler kath. Bek.,gs.edithstein@braunschweig.de
Grundschule Egels<br>,mail@grundschule-egels.de
Grundschule Egestorf<br>,mail@grundschule-egestorf.de
Grundschule Eggermühlen<br>,Grundschule-Eggermuehlen@t-online.de
Grundschule Ehmen-Mörse<br>,Grundschule.Ehmen@gmx.de
Grundschule Ehra-Lessien<br>die Schule am Bickelstein,Grundschule-Ehra-Lessien@t-online.de
Grundschule Eicken-Bruche<br>mit Förderschulklasse Schwerpkt. Sprac,schulleitung@gs-eicken-bruche.de
Grundschule Eicklingen/Bröckel<br>mit Außenstelle Bröckel,buero@gs-eicklingen-broeckel.de
Grundschule Eilvese<br>,GS-Eilvese@t-online.de
Grundschule Eimbeckhausen<br>,GS_Eimbeckhausen@t-online.de
Grundschule Einswarden<br>,gseinswarden@t-online.de
Grundschule Eldingen<br>,gseldingen.hen@web.de
Grundschule Elsdorf<br>,sekretariat@gs-elsdorf.de
Grundschule Elsfleth<br>,gs-elsfleth@t-online.de
Grundschule Elstorf<br>,Grundschule_Elstorf@t-online.de
Grundschule Elze<br>,GS.Elze@htp-tel.de
Grundschule Embsen<br>,GSEmbsen@gmx.de
Grundschule Emlichheim<br>,grundschule.emlichheim@ewetel.net
Grundschule Emmelndorf<br>, sekretariat@gs-emmelndorf.de
Grundschule Emmerke<br>,gs.emmerke@t-online.de
Grundschule Emstek<br>f. Schüler kath. Bekenntnisses,grundschule.emstek@t-online.de
Grundschule Emstekerfeld<br>f. Schüler kath. Bek,grundschule.emstekerfeld@ewetel.net
Grundschule Engelbostel<br>,gs.engelbostel_info@htp-tel.de
Grundschule Engter<br>,schulleitung@ghs-engter.de
Grundschule Entenfang<br>,gs-entenfang@hannover-stadt.de
Grundschule Erlte/Hagstedt<br>f. Schüler kath. Bek,grundschule.hagstedt@ewetel.net
Grundschule Esens-Süd<br>Verlässliche Grundschule,buero@gsess.de
Grundschule Essen<br>f. Schüler kath. Bek.,gs-essen@t-online.de
Grundschule Esterwegen<br>,grundschule.esterwegen@ewetel.net
Grundschule Estorf<br>,gs.estorf@t-online.de
Grundschule Etelsen<br>,info@grundschule-etelsen.de
Grundschule Etzhorn<br>,info@gs-etzhorn.de
Grundschule Evenkamp<br>f. Schüler kath. Bek,gs.evenkamp@gmx.de
Grundschule Eversburg<br>,grundschule.eversburg@osnanet.de
Grundschule Eversen<br>,GS.Eversen@t-online.de
Grundschule Eversten<br>f. Schüler kath. Bek,gs.eversten@ewetel.net
Grundschule Evesen<br>,gs-evesen@bueckeburg.de
Grundschule Exten<br>m. Außenstelle Krankenhagen,gs-exten-sl@rinteln.de
Grundschule Eydelstedt<br>,GS-eydelstedt@t-online.de
Grundschule Falkenberg<br>,gs-falkenberg@lilienthal.de
Grundschule Fallersleben<br>,gs-fallersleben@wolfsburg.de
Grundschule Feldbreite<br>,gsfeldbreite-rastede@t-online.de
Grundschule Föhrste<br>,grundschule-foehrste@t-online.de
Grundschule Filsum<br>,Buero-GS-Filsum@gmx.net
Grundschule Finkenburg<br>,GS-Finkenburg@stadt.wilhelmshaven.de
Grundschule Fintel<br>,grundschule-fintel@t-online.de
Grundschule Fischbeck<br>,gs.fischbeck@t-online.de
Grundschule Fischerhude<br>,Grundschule.fischerhude@t-online.de
Grundschule Flachsmeer<br>,schulleitung@grundschule-flachsmeer.de
Grundschule Flechum-Westerloh<br>,Grundschule_Flechum@t-online.de
Grundschule Fleestedt<br>,info@gs-fleestedt.de
Grundschule Flegessen<br>,gs-flegessen@t-online.de
Grundschule Fümmelse<br>,gs-fuemmelse@versus-wf.de
Grundschule Fr.-Aug.-Hütte<br>,GSFAH@t-online.de
Grundschule Früchteburgschule<br>,GS-Fruechteburg-Emden@t-online.de
Grundschule Fredenbeck<br>,gsfredenbeck@t-online.de
Grundschule Freren<br>,Grundschule-Freren@t-online.de
Grundschule Fresenburg<br>,gs-fresenburg@lathen.de
Grundschule Friedeburg<br>,Grundschule-Friedeburg@friedeburg.de
Grundschule Friedrichstraße<br>,gs_friedrichstr.helmstedt@t-online.de
Grundschule Frielingen<br>,info@gs-frielingen.de
Grundschule  Fürstenau<br>,gs.fuerstenau@t-online.de
Grundschule Fuhsestraße<br>,gsfuhsestrasse@hannover-stadt.de
Grundschule Fullen<br>,grundschule.fullen@ewetel.net
Grundschule Galgenmoor<br>f. Schüler kath. Bek,grundschule.galgenmoor@ewetel.net
Grundschule Ganspe<br>,gs-ganspe@ewe.net
Grundschule Garbsen-Mitte<br>,info@gs-garbsen-mitte.de
Grundschule Garßen<br>,schulleitung@gs-garssen.de
Grundschule Gartenheimstraße<br>,gsgartenheimstrasse@hannover-stadt.de
Grundschule Gartenstadt<br>,gs.gartenstadt@braunschweig.de
Grundschule Gauerbach<br>,gsgauerbach@t-online.de
Grundschule Geestenseth<br>,grundschule.geestenseth@t-online.de
Grundschule Gehlenberg<br>,gs.gehlenberg@friesoythe.de
Grundschule Gehrde<br>,sekretariat@vgs-gehrde.de
Grundschule Gellenbeck<br>,GHS-Gellenbeck@t-online.de
Grundschule Gemeinde Bad Grund (Harz)<br>,mail@gs-gemeindebadgrund.de
Grundschule Georgsdorf<br>,info@gsgeorgsdorf.de
Grundschule Gerdau<br>,grundschule-gerdau@t-online.de
Grundschule Gersten<br>,gs.gersten@ewetel.net
Grundschule Gesmold<br>,sekretariat@schule-gesmold.de
Grundschule Gestorf<br>,gsgestorf@gmx.de
Grundschule Gieboldehausen<br>,GS-Gieboldehausen@t-online.de
Grundschule Gießelhorst<br>,leitung@gs-giesselhorst.de
Grundschule Giesen-Hasede<br>mit Außenstelle,gsgiesen@gmx.de
Grundschule Gimte<br>,schule@gs-gimte.de
