Käthe-Kollwitz-Gymnasium Musikgymnasium,  Herr  Zinkann, gy-kollwitz@rostock.de
Regionale Schule mit Grundschule Fritz Reuter,  Frau  Hollstein, werger@schule-zarrentin.de
Lindenschule Lübtheen Regionale Schule mit Grundschule,  Herr  Cordt, realschule.luebtheen@t-online.de
Regionale Schule mit Grundschule Dassow,  Frau  Kurda, schule@stadt-dassow.de
Regionale Schule mit Grundschule,  Frau  Hoffmann, info@schule-schoenberg.de
Regionale Schule mit Grundschule,  Herr  Beyrau, sekretariat@schule-proseken.de
Regionale Schule  Weststadt-Campus,  Frau  Teschner, 
Regionale Schule mit Grundschule Am Schweriner See,  Frau  Vandreier, bad-kleinen-schule@t-online.de
Regionale Schule mit Grundschule,  Frau  Quade, regsmalliss@t-online.de
Regionale Schule mit Grundschule,  Herr  Booß, info@regionale-schule-vellahn.de
Regionale Schule Ostsee-Schule,  Frau  Brindle, ostsee-schule@wismar.de
Regionale Schule mit Grundschule Dr. Ernst Alban,  Frau  Splisteser, sekretariat@eas-rastow.de
Regionale Schule mit Grundschule Mühlen Eichsen,  Frau  Schläger, sekretariat@schule-muehlen-eichsen.de
Regionale Schule mit Grundschule Theodor Körner,  Herr  Tiede, schulepicher@web.de
Regionale Schule mit Grundschule Käthe Kollwitz,  Herr  Barsch, info@schule-rehna.de
Regionale Schule,  Frau  Silbernagel-Dübel, postbox@schule-banzkow.de
Karl-Scharfenberg-Schule Regionale Schule,  Frau  Ott, karl-scharfenberg-schule@web.de
Regionale Schule,  Herr Dr. Dähn, sekretariat@regionalschule-crivitz.de
Regionale Schule mit Grundschule Insel Poel Prof. Dr. h. c. Dr. h. c. Hans Lembke,  Frau  Seifferth, regionalschule-insel-poel@freenet.de
Regionale Schule Klütz,  Frau  Malek, realschule-kluetz@t-online.de
Regionale Schule Prof. Dr. Friedrich Heincke,  Herr  Helmrich, Realschule-II-Hagenow@t-online.de
Regionale Schule mit Grundschule Astrid Lindgren,  Herr  Metzler, lindgren-schule.sn@t-online.de
Regionale Schule Erich Weinert,  Herr  Neumann, weinert-schule-sn@t-online.de
Regionale Schule,  Frau  Schuhmann, regionaleschule@stadt-brueel.de
Regionale Schule mit Grundschule Werner Lindemann,  Frau  Pentzien, info@schule-luebstorf.de
Regionale Schule,  Herr  Polzin, regionale.schule.neukloster@web.de
Regionale Schule Bertolt Brecht,  Frau  Upahl, brecht-schule@wismar.de
Regionale Schule Nord,  Frau  Mundry-Göthe, rgs-nord@schulen-nb.de
Eldetalschule Regionale Schule mit Grundschule,  Herr  Weimer, regionale.schule.domsuehl@web.de
Naturpark-Schule Krakow am See Regionale Schule mit Grundschule,  Frau  Watzke, buero@schule-kas.de
Regionale Schule Mitte Fritz Reuter,  Frau  Dornig, fritz-reuter-schule@schulen-nb.de
Regionale Schule mit Grundschule Am Kirschgarten,  Herr  Djalek, Schule.Blankensee@web.de
Regionale Schule Heinrich Schliemann,  Frau  Krüger, regs-moellenhagen@t-online.de
Regionale Schule mit Grundschule Wesenberg,  Frau  Schöniger, sekretariat@wesenberg-schule.de
Regionale Schule Burg Stargard,  Frau  Schwenn, schule@regs-burg-stargard.de
Regionale Schule Am Lindetal,  Frau  Stieger, RegSchuleVoss@web.de
Regionale Schule Lübz,  Frau  Birnitzer, regionale-schule@luebz.de
Regionale Schule Walter Husemann,  Frau  Hög, info@whs-goldberg.de
Regionale Schule Fritz Reuter,  Frau  Ebert, reuterschule@parchim.de
Regionale Schule Waren/West,  Frau  Hänsel, schule@rww24.de
Regionale Schule Jawaharlal Nehru,  Frau  Hübner, info@nehru-schule.de
Regionale Schule mit Grundschule Johann Heinrich Voss,  Herr  Hofmann, regionale-schule@voss-schule-penzlin.com
Regionale Schule Johann Wolfgang von Goethe,  Herr  Dreeser, goetheschule@parchim.de
Regionale Schule Friedrich Dethloff,  Frau  Schmidt, Friedrich-Dethloff-Schule@t-online.de
Regionale Schule Am Klüschenberg,  Herr  Zimmermann, sak.plau@gmail.com
Regionale Schule Rechlin,  Frau  Höhn, bhoehn@schule-rechlin.de
Schule am Ruhner Berg Regionale Schule mit Grundschule,  Frau  Janke, info@schule-marnitz.de
Regionale Schule Hermann Burmeister,  Herr  Sintara, burmeister-schule@stralsund.de
Regionale Schule Marie Curie,  Frau  Koch, curie-schule@stralsund.de
Regionale Schule An der Prohner Wiek,  Herr  Ahlmeyer, buero@rs-prohn.de
Regionale Schule mit Grundschule Professor Gustav Pflugradt,  Herr  Steffen, mail@schule-niepars.de
Regionale Schule Adolph Diesterweg,  Herr  Schwedhelm, diesterweg-schule@stralsund.de
Regionale Schule Am Rugard,  Frau  Schädel, rs.am.rugard@stadt-bergen-auf-ruegen.de
Regionale Schule mit Grundschule bernsteinSchule Ribnitz,  Frau  Bonke, ds@bernsteinschule.de
Regionale Schule mit Grundschule Am Burgwall,  Frau  Laue, schule.garz@t-online.de
Regionale Schule mit Grundschule,  Frau  Stolarek, info@regionale-schule-zingst.de
Regionale Schule Windland,  Frau  Knebusch, schule.altenkirchen@freenet.de
Regionale Schule Rudolf Harbig,  Frau  Schaperjahn, realschule-damgarten@t-online.de
Regionale Schule Reinberg,  Frau  Pannowitsch, rsreinberg@yahoo.de
Regionale Schule mit Grundschule Hiddensee,  Frau  Dahlke, schulleitung@schule-hiddensee.de
Regionale Schule Am Grünen Berg Bergen,  Frau  Reiher, sekretariat@regs-am-gruenen-berg.de
Regionale Schule mit Grundschule,  Herr  Mostek, schulegingst@hotmail.com
Europaschule Arnold Zweig Regionale Schule,  Frau  Hoche, sekretariat@regs-arnold-zweig-pasewalk.de
Regionale Schule Hanno Günther,  Herr  Beckert, schule.ferdinandshof@web.de
Regionale Schule mit Grundschule C. W. B. Heberlein Wolgast,  Frau  Fennert, schule.heberlein@t-online.de
Regionale Schule Binz,  Herr  Steinbeiß, sekretariat@regionale-schule-binz.de
Regionale Schule Tom Beyer,  Frau  Schröder, regionalschule-goehren@t-online.de
Regionale Schule Albert Einstein Torgelow,  Frau  Zech, RegS.tgl@t-online.de
Regionale Schule Ernst Thälmann,  Frau  Krumrück, regioschule@eggesin.de
Regionale Schule Sassnitz,  Frau  Appelbohm, regio_schul_sassnitz@web.de
Regionale Schule mit Grundschule Heinrich Heine,  Frau  Schönberg, H.-Heine-Schule-Karlshagen@t-online.de
Johann-Christoph-Adelung-Schule Regionale Schule mit Grundschule,  Herr  Ochel, sekretariat@schule-spantekow.de
Regionale Schule Löcknitz,  Frau  Harting, rsloecknitz@gmx.de
Regionale Schule Am Teufelstein,  Herr  Knorr, schulelubminsekretariat@web.de
Regionale Schule Ückeritz Ostseeschule,  Herr  Biedenweg, schule-ueckeritz@gmx.de
Lindenschule Ducherow Regionale Schule mit Grundschule,  Frau  Hytra, schule-ducherow-sl@t-online.de
Regionale Schule Ehm Welk Ueckermünde,  Herr  Ewert, regionale.schule-ueckermuende@T-Online.de
Regionale Schule G. L. Th. Kosegarten,  Frau  Koch, kosegartenschule@wolgast.eu
Regionale Schule Schule am Wasserturm,  Frau  Sauer, realschule-strasburg@t-online.de
Regionale Schule Käthe Kollwitz,  Frau  Laue, RegSchule-Kollwitz-SL@t-online.de
Hans-Fallada-Schule Feldberg Regionale Schule mit Grundschule,  Frau  Friedrich, fallada-schule@feldberg.de
Regionale Schule mit Grundschule Wilhelm Höcker,  Herr  Zuber, schule@schulewoldegk.de
Regionale Schule Friedrich Schiller,  Frau  Obermeit, sekretariat@schillerschule-anklam.de
Regionale Schule Penkun,  Herr  Ganske, regschulepenkun@t-online.de
Regionale Schule mit Grundschule Buchenberg,  Herr  Thietke, buchenbergschule@t-online.de
Käthe-Kollwitz-Schule Regionale Schule,  Frau  Alsleben, regionale-schule-buetzow@t-online.de
Baltic-Schule Rostock Regionale Schule,  Frau  Häupl, sekretariat.balticschule@rostock.de
Heinrich-Schütz-Schule Regionale Schule,  Herr  Baumert, rs-schuetz@rostock.de
Martha-Müller-Grählert-Schule Regionale Schule mit Grundschule,  Frau Dr. Kurtzmann, info@schule-franzburg.de;schulleiterin@schule-fran
Regionale Schule mit Grundschule,  Herr  Hill, schule-zehna@t-online.de
Nordlicht-Schule Regionale Schule,  Herr  Müller, rs-nordlicht@rostock.de
Regionale Schule Jarmen Europaschule,  Frau  Ilg, Regionale_Schule_Jarmen@t-online.de
Prof.-Franz-Bunke-Schule Schwaan Regionale Schule mit Grundschule,  Herr  Pabusch, regionale-schule@schwaan.info
Regionale Schule Siegfried Marcus,  Herr  Schmidt, Marcus_Schule_MC@gmx.de
Regionale Schule mit Grundschule Anne Frank,  Herr  Ziolkowski, ziolkowski@afs-tessin.de
Regionale Schule Dummerstorf,  Herr  Porteck, regionale.schule.dummerstorf@t-online.de
Johann-Pogge-Schule Regionale Schule mit Grundschule,  Herr  Ackermann, schule-lalendorf@t-online.de
Warnowschule Regionale Schule mit Grundschule,  Frau  Aloulou, info@warnowschule.de
Conventer Schule Rethwisch Regionale Schule mit Grundschule,  Frau  Lemke, info@schule-rethwisch.de
Regionale Schule mit Grundschule Recknitz-Trebeltal,  Frau  Fruhriep, regionale.schule.tribsees@t-online.de
Regionale Schule mit Grundschule,  Frau  Diesterbeck, info@schule-bernitt.de
Evangelische Schule Dettmannsdorf Regionale Ganztagsschule mit Grundschule,  Frau Dr. Queren, vorstand@schule-dettmannsdorf.de
Regionale Schule Sanitz,  Frau  Welk, schulleitung@RegionaleSchuleSanitz.de
Warbel-Schule  Regionale Schule,  Herr  Schlaak, regs-gnoien@web.de
Regionale Schule mit Grundschule Pestalozzi - Europaschule,  Herr  Rieck, pestalozzi-schule-demmin@t-online.de
Regionale Schule Loitz,  Herr  Fandrich, schule.loitz@t-online.de
Schule am See Regionale Schule mit Grundschule,  Frau  Walter, info@schule-satow.de
Regionale Schule Dargun,  Frau  Frankowiak-Gläßer, regionaleschule1@dargun.de
Regionale Schule Otto-Lilienthal,  Herr  Plattner, rs-lilienthal@rostock.de
Krusensternschule Regionale Schule,  Frau  Bernhardt, rs-krusenstern@rostock.de
Regionale Schule mit Grundschule Peenetal Gützkow,  Herr  Hadrath, schulleitung@peenetal-schule.de
Regionale Schule Ernst Moritz Arndt,  Frau  Kehl, regs-arndt-hgw@arcor.de
Regionale Schule Robert Koch,  Frau  Harder, rs_r_koch@grimmen.de
Regionale Schule Teterow,  Frau  Herz, reg-schule@teterow.de
Störtebeker-Schule Regionale Schule,  Frau  Elstner, rs-stoertebeker@rostock.de
Regionale Schule am Kamp,  Herr  Gesicki, regionale-schule-am-kamp@t-online.de
Regionale Schule Richard Wossidlo,  Frau  Jahnke, sekretariat@wossidloschule-guestrow.de
Regionale Schule Caspar David Friedrich,  Herr  Heiden, regs-friedrich@t-online.de
Regionale Schule Fritz Reuter,  Herr  Eichhorst, reuterdemmin@gmx.de
Evangelisches Schulzentrum Katharina von Bora Regionale Schule mit Grundschule,  Herr  Braun, ev.regschule.demmin@freenet.de
Regionale Schule mit Grundschule,  Frau  Affeldt, schule-tuetzpatz@web.de
Regionale Schule mit Grundschule Schule am Bodden,  Herr  Leu, info@schuleambodden.de
Regionale Schule Thomas Müntzer,  Frau  Siegesmund, thomas.muentzer@freenet.de
Regionale Schule mit Grundschule Schule am Inselsee,  Frau  Mahn, schuleaminselsee-gue@freenet.de
, , 
, , 
Goethe-Gymnasium,  Herr  Maas, schulleitung@goethegymnasium-schwerin.de
Gymnasium am Tannenberg,  Frau  Großmann, office@gymnasium-am-tannenberg.de
Robert-Stock-Gymnasium,  Frau  Noack, info@rsg-hgn.de
Ernst-Barlach-Gymnasium,  Herr  Pegel, sekretariat@ebg-schoenberg.com
Gymnasium Am Sonnenberg,  Herr  Kreimer, sekretariat@gymcrivitz.de
ecolea - Internationale Schule Schwerin Gymnasium in Freier Trägerschaft,  Frau  Ochsenreither, gymnasium.sn@ecolea.de
Gymnasium Fridericianum,  Frau  Scheibel, Gymnasium.Fridericianum@t-online.de
Neumühler Schule Gymnasium und Regionale Schule mit Grundschule,  Frau  Jähnig, nadja.jaehnig@neumuehler-schule.de
Gerhart-Hauptmann-Gymnasium,  Frau  Albrecht, Schule@ghg-wismar.com
Goethe-Gymnasium,  Herr  Detenhoff, Goethe@gymnasium-ludwigslust.de
Elbe-Gymnasium Boizenburg,  Herr  Kersten, kontakt@elbe-gymnasium.de
Große Stadtschule Geschwister-Scholl-Gymnasium,  Herr  Sass, stadtschule@scholl-wismar.com
Pädagogium Schwerin Europaschule Gymnasium mit Grundschule und Orientierungsstufe,  Frau  Kramer, info@paedagogium-schwerin.de
Sportgymnasium mit Regionalschulklassen,  Herr  Westphal, sportgym.sn@t-online.de
Gymnasium Am Sonnenkamp,  Frau  Paschen, sekretariat@gymnasium-neukloster.de
Albert-Einstein-Gymnasium,  Herr Dr. Kittler, dr_dkittler@gmx.de
Gymnasium Carolinum,  Herr  Tesch, info@carolinum.de
Friedrich-Franz-Gymnasium,  Herr  Merzsch, Sekretariat@gymnasium-parchim.de
Gotthold-Ephraim-Lessing-Gymnasium,  Frau  Gröhl, sekretariat@lessinggym-nb.de
Schloß Torgelow Privates Internatsgymnasium,  Frau  Franke, sekretariat@schlosstorgelow.de
Sportgymnasium mit Regionalschulklassen,  Frau  Knospe, Sekretariat
Eldenburg-Gymnasium Lübz,  Herr  Schwarz, scb@gymlbz.de
Leistungsorientiertes Schulzentrum RegioGym Neubrandenburg,  Frau  Schiffner, sekretariat@das-andere-gymnasium.de
Richard-Wossidlo-Gymnasium,  Herr  Behrns, joop@gym-waren.de
Ernst-Moritz-Arndt-Gymnasium,  Herr  Racky, info@emagym-bergen.de
Hansa-Gymnasium Hansestadt Stralsund,  Herr  Janke, hansa-gymnasium@stralsund.de
Richard-Wossidlo-Gymnasium Ribnitz-Damgarten,  Frau  Schermuk, mail@wossidlogymnasium.de
Greifen-Gymnasium Ueckermünde,  Herr Dr. phil. Dittmann, ssl@gymnasium-ueckermuende.de
Runge-Gymnasium,  Herr  Roggow, Runge-Gymnasium@kreis-vg.de
Deutsch-Polnisches Gymnasium Europaschule,  Frau  Metz, dpg-l@t-online.de
Lilienthal-Gymnasium Anklam,  Herr  Ruta, lilienthal-gymnasium-anklam@t-online.de
Gymnasium Oskar Picht Europaschule,  Frau  Kühne-Hellmessen, Manuela.Stange@kreis-vg.de
Fritz-Greve-Gymnasium,  Frau  Dürfeld, gymnasiummalchin@t-online.de
Gymnasium Grimmen,  Herr  Kasch, gymgrimmen@gmx.de
Ostseegymnasium Greifswald Gymnasium und Grundschule mit Orientierungsstufe,  Frau  Witte, BFG-GmbH@t-online.de
Friderico-Francisceum-Gymnasium,  Frau  Hacker, mail@ffg-dbr.de
Innerstädtisches Gymnasium,  Herr Dr. Riemer, gy-innerstaedtisch@rostock.de
Geschwister-Scholl-Gymnasium,  Herr  Menzel, gymn_buetzow@yahoo.de
ecolea - Internationale Schule Rostock Gymnasium in Freier Trägerschaft,  Frau  Dudeck, gymnasium.hro@ecolea.de
, , 
John-Brinckman-Gymnasium Güstrow,  Herr  Rädke, sekretariat@brinckman.de
Friedrich-Ludwig-Jahn-Gymnasium Greifswald,  Herr Dr. Albrecht, kontakt@jahngymnasium.de
Goethe-Gymnasium Musikgymnasium,  Herr  Binder, sekretariat@ggdm.de
, , 
Gymnasium Alexander von Humboldt,  Herr  Burmeister, sekretariat@humboldt-greifswald.de
Kinder-und Jugendkunstakademie Am Schulcampus Gymnasium mit Grundschule und Orientierungsstufe,  Frau  Wilfert, kinderkunstakademie-k@ill-ev.de
Gymnasium Reutershagen -Europaschule-,  Herr  Bonin, gy-reutershagen@rostock.de
, , 
CJD Christophorusschule Rostock Gymnasium mit Grundschule und Orientierungsstufe,  Herr  Kästner, cjd.rostock@cjd.de
Erasmus-Gymnasium,  Herr  Schröder, gy-erasmus@rostock.de
Gymnasium Sanitz,  Frau Dr. Schulz, post@gymnasium-sanitz.de
Integrierte Gesamtschule Johann Wolfgang von Goethe ohne gymnasiale Oberstufe,  Frau Dr. Obermeier, Sekretariat@igs-wismar.de
, , 
Niels-Stensen-Schule Katholische Kooperative Gesamtschule mit gymnasialer Oberstufe und Grundschule,  Frau  Bollesen-Brüning, sekretariat-gs@nss-sn.de  (GS)
Gymnasiales Schulzentrum Wittenburg Kooperative Gesamtschule mit gymnasialer Oberstufe,  Herr  Kühnel, info@schulzentrum-wittenburg.de
Schulzentrum Kühlungsborn Verbundene Regionale Schule und Gymnasium,  Frau  Schmidt, info@schulzentrum-kborn.de
, , 
, , 
Integrierte Gesamtschule Bertolt Brecht mit gymnasialer Oberstufe,  Frau  Arndt, info@brechtschule-schwerin.de
Schweriner Haus des Lernens Integrierte Gesamtschule mit gymnasialer Oberstufe mit Grundschule,  Frau  Dieckmann, grundschule@sws-schulen.de
Freie Schule Rerik Integrierte Gesamtschule mit gymnasialer Oberstufe,  Frau  Kahle, schulleitung@freie-schule-rerik.de
, , 
Stella - Kooperative Gesamtschule mit gymnasialer Oberstufe und Grundschule,  Herr  Gritzner, ralf.gritzner@internationaler-bund.de
Fleesenseeschule Verbundene Regionale Schule und Gymnasium,  Frau  Cordes, schulleitung@fleesenseeschule.de
Evangelische Schule Sankt Marien Integrierte Gesamtschule mit gymnasialer Oberstufe und Grundschule,  Herr  Quaschning, info@evs-nb.de
, , 
Integrierte Gesamtschule Walter Karbe ohne gymnasiale Oberstufe,  Frau Dr. Klameth-Maronde, igs.sekretariat@neustrelitz.de
, , 
Christliche Gemeinschaftsschule Jona Schule Integrierte Gesamtschule mit gymnasialer Oberstufe und Grundschule,  Herr  Schwabe, gemeinschaft@jona-schule.de
Greenhouse School Graal-Müritz Integrierte Gesamtschule mit gymnasialer Oberstufe,  Herr  Kampf, info@greenhouse-school.de
, , 
Gymnasiales Schulzentrum Barth Kooperative Gesamtschule mit gymnasialer Oberstufe,  Herr  Schmidt, schulzentrum.gym@t-online.de
Integrierte Gesamtschule Grünthal mit gymnasialer Oberstufe,  Herr  Renneberg, igs-gruenthal@stralsund.de
Europäische Gesamtschule Insel Usedom Kooperative Gesamtschule mit gymnasialer Oberstufe,  Herr  Räsch, raesch@kgs-seebad-ahlbeck.de
CJD Christophorusschule Rügen Kooperative Gesamtschule mit gymnasialer Oberstufe,  Herr  Hanna, sekretariat@cjd-sellin.de
Freie Schule Zinnowitz Integrierte Gesamtschule mit gymnasialer Oberstufe,  Herr  Schmidt, igs-zinnowitz@freenet.de
neue friedländer gesamtschule Verbundene Regionale Schule und Gymnasium,  Herr  Böhnke, sekretariat@nfg24.de
, , 
Montessori Schule Integrierte Gesamtschule mit gymnasialer Oberstufe mit Grundschule,  Herr  Kleemann, info@montessori-schule-greifswald.de
Jenaplanschule Integrierte Gesamtschule mit gymnasialer Oberstufe und Grundschule,  Herr  Plant, gs-jenaplan@rostock.de
, , 
Evangelisches Schulzentrum Martinschule Integrierte Gesamtschule mit gymnasialer Oberstufe, Grundschule und Schule mit dem Förderschwerpunkt geistige Entwicklung,  Herr  Skladny, schulleitung@martinschule-greifswald.de
, , 
Privatschule Universitas Integrierte Gesamtschule mit mit gymnasialer Oberstufe und Grundschule,  Frau  Theißen, mail@universitas-rostock.de
, , 
, , 
, , 
RecknitzCampus Laage Kooperative Gesamtschule mit gymnasialer Oberstufe und Grundschule,  Frau  Kaleun, mail@recknitzcampus.de
Verbundene Regionale Schule und Gymnasium David Franck,  Frau  Langpap, Sekretariat@kgs-sternberg.de
, , 
Verbundene Regionale Schule und Gymnasium Rövershagen Europaschule,  Frau Dr. Wolk, gymroev@t-online.de
Reuterstädter Gesamtschule -Europaschule- Kooperative Gesamtschule mit gymnasialer Oberstufe,  Herr  Trautmann, reuterstaedter.gesamtschule@t-online.de
Schulcampus Rostock-Evershagen Kooperative Gesamtschule mit gymnasialer Oberstufe,  Herr  Tuschner, gs-schulcampus@rostock.de
, , 
Michaelschule Schule mit dem Förderschwerpunkt geistige Entwicklung, Grundschule und Integierte Gesamtschule,  Herr  Bennemann, schule@michaelshof.de
Integrierte Gesamtschule Erwin Fischer ohne gymnasiale Oberstufe,  Frau  Darm, sekretariat@fischerschule-hgw.de
